region,white,black,hispanic,aapi,other
Georgia District 14,0.713288136,0.131355932,0.105762712,0.011694915,0.037898305
Hawaii,0.215892054,0.014992504,0.095452274,0.467766117,0.205897051
Hawaii District 1,0.16088681,0.0186447,0.066070036,0.532357029,0.222041425
Hawaii District 2,0.318135593,0.012508475,0.095423729,0.256881356,0.317050847
Idaho,0.788889555,0.008038875,0.129981803,0.01599776,0.057092007
Idaho District 1,0.826813559,0.005118644,0.098576271,0.01240678,0.057084746
Idaho District 2,0.802610169,0.009355932,0.121966102,0.018169492,0.047898305
Illinois,0.583116623,0.139027806,0.182036407,0.058611722,0.037207441
Illinois District 1,0.369830508,0.50240678,0.078779661,0.021627119,0.027355932
Illinois District 2,0.362677966,0.463694915,0.13359322,0.010101695,0.029932203
Illinois District 3,0.427578726,0.046066235,0.437985153,0.064201214,0.024168672
Illinois District 4,0.262135593,0.048983051,0.632305085,0.041830508,0.014745763
Illinois District 5,0.732949153,0.024949153,0.106610169,0.105830508,0.029661017
Illinois District 6,0.746262585,0.052510255,0.1180379,0.058646056,0.024543205
Illinois District 7,0.327050847,0.411016949,0.138474576,0.093491525,0.029966102
Illinois District 8,0.584358792,0.039831859,0.207125665,0.142987898,0.025695786
Illinois District 9,0.615700237,0.084231943,0.116615802,0.148796202,0.034655816
Illinois District 10,0.615885284,0.061561409,0.212074986,0.079426421,0.0310519
Illinois District 11,0.665694915,0.058033898,0.164372881,0.082474576,0.029423729
Illinois District 12,0.880504424,0.049188108,0.023695718,0.01054273,0.036069019
Illinois District 13,0.677932203,0.18820339,0.042915254,0.047322034,0.043627119
Illinois District 14,0.626767009,0.091426828,0.20065087,0.050883081,0.030272213
Illinois District 15,0.908508475,0.028644068,0.024169492,0.007389831,0.031288136
Illinois District 16,0.872508475,0.021050847,0.052779661,0.021389831,0.032271186
Illinois District 17,0.719661017,0.126813559,0.093966102,0.021152542,0.03840678
Indiana,0.754773568,0.093871838,0.081675497,0.024992502,0.044686594
Indiana District 1,0.632,0.176169492,0.143050847,0.01420339,0.034576271
Indiana District 2,0.793559322,0.061661017,0.092271186,0.015322034,0.037186441
Indiana District 3,0.831158266,0.056743839,0.054608318,0.023660215,0.033829362
Indiana District 4,0.834141216,0.034405613,0.058913257,0.033151419,0.039388495
